DOID	MeSH
DOID:0070303	C535501
DOID:0070306	D000080942
DOID:0070307	C564332
DOID:0070308	C535686
DOID:0070309	D004832
DOID:0070330	C565304
DOID:0070331	C536350
DOID:0070337	C565155
DOID:0070338	C562568
DOID:0070355	D053201
DOID:0070356	D005128
DOID:0070419	C563936
DOID:0070431	C565495
DOID:0070439	C537835
DOID:0070452	C562584
DOID:0070453	C566358
DOID:0070484	C548032
DOID:0070489	C567730
DOID:0070509	C536632
DOID:0070511	C567020
DOID:0070517	C562746
DOID:0070518	D000071070
DOID:0070521	C536316
DOID:0070523	C564309
DOID:0070541	C538324
DOID:0070546	C566469
DOID:0070547	C566472
DOID:0070553	C536157
DOID:0070557	C567656
DOID:0070558	C567690
DOID:0070560	C536830
DOID:0070562	D005198
DOID:0070563	C562602
DOID:0070613	D006030
DOID:0070620	D012303
DOID:0070621	C535487
DOID:0070622	C580424
DOID:0070648	D002636
DOID:0070650	C535285
DOID:0070654	C566555
DOID:0080001	D001847
DOID:0080011	D001862
DOID:0080016	D016135
DOID:0080030	C566574
DOID:0080032	C562940
DOID:0080037	C536748
DOID:0080038	D058631
DOID:0080039	C537791
DOID:0080041	C562937
DOID:0080043	C579878
DOID:0080044	C563007
DOID:0080045	C537207
DOID:0080047	C535819
DOID:0080049	C535658
DOID:0080050	C535661
DOID:0080056	C536017
DOID:0080072	D007418
DOID:0080073	D016136
DOID:0080077	C567363
DOID:0080078	C567362
DOID:0080082	C536377
DOID:0080094	C000598645
DOID:0080094	C535906
DOID:0080108	D009212
DOID:0080110	C537377
DOID:0080119	C536350
DOID:0080120	C563698
DOID:0080121	C580039
DOID:0080122	D002549
DOID:0080124	C567624
DOID:0080124	C580473
DOID:0080125	C538344
DOID:0080126	C535523
DOID:0080127	C536350
DOID:0080128	C580473
DOID:0080132	C538280
DOID:0080137	C567059
DOID:0080143	C580012
DOID:0080150	C535668
DOID:0080153	C536038
DOID:0080158	D007635
DOID:0080158	D016849
DOID:0080159	D016919
DOID:0080160	D017726
DOID:0080161	D002179
DOID:0080162	D008181
DOID:0080169	D018785
DOID:0080172	C536512
DOID:0080174	D001746
DOID:0080176	D008585
DOID:0080177	D006504
DOID:0080178	D052016
DOID:0080179	D008583
DOID:0080199	D015179
DOID:0080202	D003528
DOID:0080205	C566906
DOID:0080208	D065626
DOID:0080216	C535720
DOID:0080223	D053546
DOID:0080234	C536208
DOID:0080301	D065766
DOID:0080302	D012891
DOID:0080307	C580316
DOID:0080313	C563047
DOID:0080314	C566579
DOID:0080315	C536141
DOID:0080316	C536141
DOID:0080324	C565346
DOID:0080325	C566021
DOID:0080326	D024741
DOID:0080332	D000082882
DOID:0080344	C536188
DOID:0080349	C567847
DOID:0080361	C536561
DOID:0080365	D004714
DOID:0080395	C566121
DOID:0080396	C566419
DOID:0080397	C563448
DOID:0080398	C564251
DOID:0080399	C563843
DOID:0080400	C563464
DOID:0080402	C563675
DOID:0080403	C566605
DOID:0080404	C567410
DOID:0080405	C567548
DOID:0080494	C564499
DOID:0080533	C564650
DOID:0080539	C536317
DOID:0080543	C538385
DOID:0080544	D053306
DOID:0080549	C537117
DOID:0080551	C538346
DOID:0080576	C535785
DOID:0080579	C535308
DOID:0080580	C535309
DOID:0080583	C564012
DOID:0080600	D000086382
DOID:0080629	C563668
DOID:0080653	D052878
DOID:0080664	C536169
DOID:0080666	C567080
DOID:0080678	C565367
DOID:0080688	C536987
DOID:0080694	C537548
DOID:0080695	C537411
DOID:0080696	C536709
DOID:0080699	C536835
DOID:0080711	C000705967
DOID:0080718	C536816
DOID:0080718	C538329
DOID:0080725	C537659
DOID:0080741	D020363
DOID:0080744	C537778
DOID:0080745	D017285
DOID:0080746	D016463
DOID:0080747	D000080223
DOID:0080750	D004893
DOID:0080768	C536254
DOID:0080775	D013734
DOID:0080779	D000069293
DOID:0080784	D014552
DOID:0080786	C537309
DOID:0080799	C537344
DOID:0080808	D000069295
DOID:0080827	D003586
DOID:0080842	D008579
DOID:0080844	C537746
DOID:0080845	C567664
DOID:0080846	D000071698
DOID:0080850	D010392
